1,0.06,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,20,20.0,140.00,20.00,120.00,120.00,120.00,140.00,540.00,440.00,120.00,60.00,80.00,20.00,60.00,120.00,120.00,20.00,200.00,120.00,120.00,40.00
22,0.49,2.62,1.61,0.86,0.63,0.75,4.16,0.86,3.70,21,21.0,126.00,105.00,126.00,546.00,21.00,462.00,126.00,105.00,126.00,21.00,126.00,126.00,21.00,399.00,84.00,126.00,525.00,42.00,126.00,126.00,126.00
23,0.46,1.32,1.85,8.63,6.31,7.50,1.85,8.63,1.78,20,20.0,140.00,120.00,40.00,20.00,40.00,120.00,120.00,120.00,20.00,120.00,120.00,60.00,120.00,120.00,120.00,20.00,20.00,260.00,120.00,120.00
24,0.51,1.32,1.85,8.63,6.31,7.50,1.85,8.63,1.78,20,20.0,480.00,120.00,460.00,120.00,120.00,120.00,120.00,60.00,20.00,80.00,440.00,400.00,80.00,120.00,60.00,400.00,480.00,20.00,120.00,420.00
25,0.49,1.32,1.85,0.13,0.11,0.46,1.85,0.13,1.78,21,21.0,21.00,126.00,483.00,126.00,126.00,126.00,126.00,126.00,441.00,126.00,105.00,21.00,42.00,441.00,126.00,525.00,126.00,126.00,126.00,105.00,126.00
26,0.46,1.32,1.85,0.13,0.11,0.46,1.85,0.13,1.78,21,21.0,483.00,105.00,126.00,126.00,126.00,462.00,504.00,525.00,126.00,42.00,21.00,126.00,126.00,126.00,126.00,126.00,126.00,21.00,63.00,126.00,420.00
27,0.52,1.32,1.85,0.13,0.11,0.46,1.85,0.13,1.78,21,21.0,357.00,126.00,126.00,126.00,420.00,126.00,504.00,42.00,126.00,126.00,126.00,126.00,126.00,105.00,126.00,126.00,504.00,126.00,126.00,126.00,84.00
28,0.53,1.32,1.85,0.13,0.11,0.46,1.85,0.13,1.78,21,21.0,504.00,21.00,21.00,126.00,126.00,126.00,21.00,126.00,126.00,126.00,42.00,126.00,126.00,21.00,21.00,126.00,21.00,504.00,525.00,126.00,504.00
29,0.54,8.66,16.65,1.26,1.08,4.59,16.65,1.26,33.83,22,22.0,132.00,506.00,132.00,154.00,154.00,132.00,132.00,66.00,132.00,132.00,418.00,44.00,132.00,528.00,132.00,44.00,22.00,22.00,110.00,132.00,132.00,506.00
30,0.54,1.06,1.26,1.26,1.08,4.59,1.26,1.26,1.21,23,21.0,126.00,126.00,84.00,126.00,126.00,126.00,126.00,105.00,126.00,84.00,525.00,21.00,21.00,126.00,21.00,84.00,84.00,21.00,21.00,126.00,42.00,420.00,126.00
31,0.55,1.06,1.26,1.26,1.08,4.59,1.26,1.26,1.21,23,21.0,525.00,105.00,84.00,105.00,126.00,126.00,441.00,126.00,441.00,441.00,21.00,126.00,126.00,84.00,21.00,126.00,126.00,126.00,84.00,126.00,126.00,21.00,21.00
32,0.59,1.06,1.26,1.26,1.08,4.59,1.26,1.26,1.21,23,21.0,126.00,126.00,126.00,126.00,126.00,126.00,126.00,126.00,126.00,105.00,21.00,126.00,126.00,105.00,126.00,126.00,126.00,21.00,126.00,420.00,126.00,21.00,504.00
33,0.54,0.04,0.03,1.26,1.08,0.04,1.26,0.08,1.21,22,22.0,132.00,132.00,110.00,22.00,132.00,132.00,88.00,132.00,132.00,132.00,748.00,132.00,22.00,132.00,132.00,132.00,22.00,396.00,132.00,88.00,132.00,132.00
34,0.59,0.04,0.03,1.26,1.08,0.04,1.26,0.08,1.21,22,22.0,132.00,550.00,594.00,132.00,88.00,44.00,132.00,132.00,132.00,132.00,132.00,132.00,132.00,132.00,88.00,440.00,110.00,132.00,132.00,528.00,132.00,462.00
35,0.53,0.04,0.03,1.26,1.08,0.04,1.26,0.08,1.21,22,22.0,44.00,110.00,110.00,22.00,132.00,132.00,132.00,154.00,550.00,506.00,132.00,132.00,22.00,132.00,132.00,132.00,132.00,132.00,528.00,132.00,132.00,44.00
36,0.56,0.04,0.03,1.26,1.08,0.04,1.26,0.08,1.21,22,22.0,550.00,88.00,132.00,110.00,132.00,22.00,132.00,132.00,132.00,132.00,132.00,22.00,374.00,132.00,132.00,132.00,44.00,396.00,528.00,132.00,132.00,132.00
37,0.59,0.04,0.03,1.26,1.08,0.04,1.26,0.08,1.21,22,22.0,132.00,550.00,66.00,88.00,528.00,110.00,132.00,132.00,132.00,66.00,132.00,132.00,132.00,132.00,132.00,132.00,66.00,132.00,110.00,132.00,132.00,132.00
38,0.58,0.04,0.03,1.26,1.08,0.04,1.26,0.08,1.21,22,22.0,66.00,22.00,132.00,132.00,22.00,132.00,132.00,132.00,22.00,418.00,132.00,132.00,132.00,132.00,132.00,132.00,462.00,132.00,66.00,132.00,132.00,22.00
39,0.62,0.04,0.03,1.26,1.08,0.04,1.26,0.08,1.21,22,22.0,132.00,132.00,132.00,132.00,132.00,110.00,572.00,132.00,110.00,132.00,132.00,88.00,132.00,132.00,440.00,22.00,132.00,506.00,132.00,88.00,132.00,110.00
40,0.63,0.36,0.31,9.24,36.41,0.36,22.99,0.79,36.41,21,23.0,138.00,138.00,230.00,138.00,552.00,138.00,138.00,667.00,138.00,115.00,736.00,575.00,23.00,598.00,138.00,138.00,23.00,598.00,322.00,138.00,575.00
41,0.59,0.36,0.31,0.39,0.84,0.36,0.80,0.79,0.84,22,24.0,144.00,48.00,144.00,168.00,144.00,456.00,24.00,144.00,144.00,576.00,144.00,144.00,144.00,144.00,144.00,144.00,600.00,144.00,576.00,600.00,144.00,24.00
42,0.63,0.36,0.31,0.39,0.84,0.36,0.80,0.79,0.84,22,24.0,144.00,24.00,144.00,144.00,144.00,480.00,144.00,144.00,144.00,144.00,24.00,144.00,120.00,456.00,144.00,144.00,384.00,600.00,144.00,144.00,384.00,144.00
43,0.64,0.36,0.31,0.39,0.84,0.36,0.80,0.79,0.84,22,24.0,120.00,120.00,144.00,96.00,144.00,480.00,144.00,144.00,528.00,144.00,168.00,240.00,144.00,432.00,1200.00,144.00,144.00,144.00,144.00,48.00,120.00,624.00
44,0.65,0.36,0.31,0.39,0.84,0.36,0.80,0.79,0.84,22,24.0,528.00,144.00,144.00,144.00,48.00,48.00,96.00,144.00,168.00,144.00,144.00,96.00,144.00,144.00,528.00,144.00,456.00,144.00,144.00,144.00,144.00,528.00
45,0.66,1.22,0.77,3.90,8.43,3.63,0.77,7.90,0.78,21,23.0,460.00,138.00,138.00,115.00,23.00,92.00,138.00,138.00,115.00,138.00,506.00,138.00,92.00,138.00,138.00,23.00,138.00,138.00,138.00,23.00,138.00
46,0.64,1.22,0.77,3.90,8.43,3.63,0.77,7.90,0.78,21,23.0,23.00,115.00,345.00,138.00,69.00,138.00,138.00,138.00,598.00,23.00,138.00,138.00,483.00,138.00,92.00,506.00,138.00,138.00,92.00,138.00,46.00
47,0.66,1.22,0.77,3.90,8.43,3.63,0.77,7.90,0.78,21,23.0,138.00,414.00,322.00,23.00,138.00,138.00,552.00,138.00,138.00,138.00,69.00,23.00,138.00,138.00,138.00,138.00,1150.00,138.00,138.00,138.00,460.00
48,0.66,1.22,0.77,3.90,8.43,3.63,0.77,7.90,0.78,21,23.0,598.00,575.00,23.00,138.00,598.00,138.00,161.00,92.00,138.00,92.00,138.00,115.00,138.00,138.00,23.00,667.00,23.00,138.00,138.00,69.00,115.00
49,0.66,12.16,7.73,1.09,1.20,1.40,7.73,1.09,7.80,22,24.0,648.00,120.00,480.00,144.00,144.00,144.00,144.00,552.00,120.00,144.00,144.00,624.00,144.00,552.00,72.00,144.00,120.00,144.00,144.00,144.00,144.00,144.00
50,0.66,12.16,7.73,1.09,1.20,1.40,7.73,1.09,7.80,22,24.0,144.00,168.00,72.00,528.00,144.00,168.00,72.00,144.00,144.00,120.00,168.00,144.00,600.00,144.00,144.00,96.00,144.00,144.00,144.00,120.00,144.00,600.00
51,0.65,12.16,7.73,1.09,1.20,1.40,7.73,1.09,7.80,22,24.0,144.00,144.00,576.00,72.00,96.00,144.00,144.00,144.00,144.00,144.00,120.00,48.00,144.00,600.00,144.00,144.00,144.00,72.00,24.00,144.00,48.00,72.00
52,0.66,12.16,7.73,1.09,1.20,1.40,7.73,1.09,7.80,22,24.0,144.00,144.00,168.00,456.00,144.00,144.00,144.00,144.00,96.00,144.00,144.00,144.00,144.00,120.00,744.00,144.00,144.00,144.00,48.00,144.00,24.00,600.00
53,0.68,12.16,7.73,1.09,1.20,1.40,7.73,1.09,7.80,22,24.0,144.00,480.00,144.00,144.00,144.00,144.00,144.00,144.00,168.00,144.00,24.00,120.00,96.00,432.00,600.00,144.00,144.00,120.00,96.00,24.00,144.00,144.00
54,0.69,0.45,0.85,10.89,11.98,13.95,0.85,10.89,1.07,21,23.0,92.00,115.00,23.00,69.00,138.00,552.00,575.00,138.00,46.00,115.00,138.00,138.00,92.00,138.00,46.00,460.00,69.00,138.00,46.00,138.00,138.00
55,0.69,0.45,0.85,10.89,11.98,13.95,0.85,10.89,1.07,21,23.0,46.00,575.00,138.00,529.00,46.00,23.00,460.00,138.00,115.00,138.00,138.00,598.00,161.00,138.00,483.00,138.00,115.00,483.00,92.00,46.00,92.00
56,0.67,0.45,0.85,10.89,11.98,13.95,0.85,10.89,1.07,21,23.0,529.00,138.00,138.00,115.00,138.00,92.00,138.00,69.00,322.00,138.00,69.00,138.00,138.00,46.00,138.00,552.00,138.00,138.00,138.00,23.00,138.00
57,0.67,0.45,0.85,10.89,11.98,13.95,0.85,10.89,1.07,21,23.0,138.00,46.00,138.00,138.00,161.00,115.00,92.00,23.00,138.00,552.00,138.00,575.00,46.00,23.00,506.00,115.00,138.00,161.00,138.00,138.00,138.00
