1,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,20.00,60.00,120.00,120.00,120.00,20.00,140.00,420.00,120.00,120.00,380.00,420.00,120.00,520.00,120.00,120.00,120.00,120.00,80.00
2,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,40.00,120.00,120.00,100.00,100.00,120.00,20.00,40.00,100.00,340.00,460.00,100.00,40.00,120.00,120.00,480.00,120.00,120.00,40.00,120.00
3,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,120.00,120.00,120.00,120.00,480.00,80.00,360.00,120.00,20.00,60.00,420.00,120.00,120.00,480.00,40.00,20.00,120.00,500.00,120.00
4,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,80.00,100.00,120.00,360.00,120.00,80.00,120.00,500.00,120.00,120.00,20.00,20.00,120.00,440.00,120.00,220.00,120.00,40.00,120.00,100.00
5,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,60.00,120.00,120.00,480.00,120.00,480.00,20.00,360.00,100.00,400.00,540.00,120.00,20.00,100.00,120.00,120.00,500.00,120.00,120.00,120.00
6,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,40.00,20.00,40.00,120.00,120.00,120.00,120.00,120.00,100.00,120.00,120.00,20.00,120.00,80.00,120.00,120.00,60.00,120.00,140.00
7,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,520.00,120.00,120.00,80.00,120.00,120.00,540.00,120.00,120.00,120.00,120.00,120.00,120.00,280.00,120.00,120.00,120.00,120.00,40.00,120.00
8,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,20.00,120.00,80.00,120.00,120.00,120.00,220.00,120.00,120.00,120.00,120.00,440.00,100.00,20.00,380.00,680.00,120.00,140.00,100.00
9,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,20.00,100.00,420.00,120.00,140.00,580.00,20.00,620.00,120.00,440.00,120.00,200.00,120.00,120.00,60.00,120.00,120.00,120.00,120.00,120.00
10,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,440.00,100.00,120.00,120.00,120.00,140.00,400.00,120.00,120.00,120.00,60.00,120.00,40.00,120.00,40.00,120.00,120.00,20.00,120.00,120.00
11,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,440.00,120.00,20.00,80.00,120.00,400.00,120.00,500.00,120.00,120.00,120.00,140.00,120.00,120.00,120.00,40.00,120.00,120.00,120.00,380.00
12,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,400.00,400.00,120.00,120.00,420.00,40.00,40.00,120.00,80.00,140.00,400.00,60.00,120.00,120.00,500.00,120.00,120.00,40.00,120.00,120.00
13,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,120.00,60.00,120.00,460.00,60.00,120.00,120.00,120.00,120.00,120.00,400.00,20.00,120.00,20.00,120.00,120.00,100.00,120.00,120.00
14,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,40.00,120.00,120.00,120.00,120.00,120.00,240.00,400.00,120.00,120.00,100.00,120.00,20.00,120.00,140.00,440.00,120.00,120.00,120.00,120.00
15,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,20.00,120.00,380.00,120.00,500.00,120.00,120.00,500.00,520.00,360.00,120.00,380.00,120.00,120.00,120.00,140.00,140.00,120.00,120.00,200.00
16,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,20.00,120.00,60.00,120.00,120.00,120.00,20.00,440.00,40.00,120.00,20.00,120.00,120.00,400.00,120.00,80.00,120.00,120.00,120.00
17,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,120.00,80.00,120.00,120.00,80.00,80.00,120.00,120.00,20.00,140.00,400.00,120.00,120.00,440.00,120.00,120.00,40.00,20.00,120.00
18,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,460.00,120.00,120.00,140.00,500.00,120.00,120.00,120.00,120.00,120.00,80.00,120.00,120.00,20.00,20.00,120.00,60.00,120.00,120.00
19,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,120.00,120.00,440.00,120.00,120.00,140.00,80.00,120.00,120.00,120.00,20.00,120.00,140.00,120.00,60.00,20.00,20.00,120.00,120.00
20,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,20.00,500.00,100.00,160.00,440.00,120.00,20.00,400.00,40.00,60.00,120.00,120.00,500.00,80.00,120.00,120.00,120.00,500.00,520.00,100.00
21,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,120.00,120.00,20.00,120.00,60.00,120.00,120.00,120.00,220.00,120.00,500.00,500.00,120.00,120.00,120.00,480.00,60.00,400.00,440.00
22,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,120.00,480.00,100.00,120.00,120.00,440.00,480.00,100.00,20.00,80.00,140.00,460.00,100.00,120.00,160.00,120.00,120.00,120.00,120.00
23,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,500.00,480.00,20.00,120.00,500.00,120.00,500.00,120.00,120.00,120.00,120.00,480.00,120.00,100.00,120.00,120.00,100.00,60.00,500.00,120.00
24,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,120.00,460.00,120.00,120.00,100.00,480.00,60.00,120.00,140.00,40.00,120.00,40.00,120.00,100.00,100.00,60.00,120.00,40.00,120.00
25,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,120.00,480.00,460.00,120.00,20.00,80.00,120.00,120.00,120.00,20.00,440.00,120.00,500.00,400.00,120.00,100.00,120.00,140.00,120.00
26,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,120.00,120.00,120.00,60.00,120.00,80.00,460.00,120.00,120.00,120.00,120.00,120.00,120.00,100.00,400.00,40.00,120.00,20.00,500.00
27,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,120.00,120.00,120.00,440.00,120.00,120.00,140.00,140.00,80.00,20.00,120.00,100.00,40.00,120.00,120.00,60.00,120.00,120.00,440.00
28,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,140.00,20.00,120.00,120.00,120.00,140.00,120.00,120.00,120.00,120.00,40.00,100.00,120.00,120.00,120.00,120.00,20.00,120.00,460.00,120.00
29,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,440.00,120.00,120.00,120.00,80.00,60.00,120.00,120.00,120.00,120.00,20.00,120.00,440.00,120.00,380.00,120.00,40.00,480.00,100.00
30,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,120.00,120.00,120.00,120.00,100.00,20.00,80.00,100.00,400.00,120.00,120.00,120.00,120.00,20.00,120.00,40.00,120.00,120.00,20.00
