1,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,100.00,120.00,400.00,120.00,100.00,120.00,120.00,480.00,20.00,100.00,100.00,500.00,460.00,480.00,120.00,120.00,380.00,120.00,480.00,440.00
2,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,120.00,440.00,120.00,500.00,20.00,120.00,440.00,20.00,400.00,400.00,120.00,120.00,100.00,200.00,120.00,40.00,20.00,120.00,20.00
3,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,400.00,120.00,120.00,80.00,120.00,120.00,120.00,120.00,400.00,120.00,460.00,40.00,480.00,120.00,500.00,360.00,40.00,120.00,100.00,20.00
4,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,520.00,80.00,120.00,120.00,120.00,500.00,120.00,60.00,120.00,120.00,120.00,120.00,120.00,120.00,400.00,140.00,480.00,40.00,500.00,520.00
5,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,120.00,120.00,500.00,40.00,120.00,120.00,500.00,120.00,120.00,120.00,120.00,20.00,100.00,20.00,140.00,280.00,100.00,80.00,120.00
6,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,340.00,60.00,40.00,60.00,120.00,120.00,140.00,20.00,20.00,100.00,120.00,120.00,120.00,120.00,120.00,120.00,100.00,100.00,460.00,440.00
7,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,500.00,120.00,120.00,500.00,120.00,80.00,440.00,480.00,420.00,120.00,120.00,120.00,120.00,100.00,120.00,120.00,1280.00,120.00,120.00,120.00
8,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,500.00,500.00,100.00,120.00,120.00,460.00,120.00,120.00,20.00,120.00,120.00,20.00,120.00,40.00,440.00,120.00,120.00,120.00,500.00,20.00
9,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,460.00,120.00,440.00,120.00,120.00,120.00,40.00,120.00,120.00,80.00,100.00,100.00,140.00,120.00,120.00,120.00,480.00,120.00,20.00,360.00
10,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,80.00,120.00,120.00,280.00,120.00,480.00,20.00,420.00,40.00,120.00,120.00,40.00,400.00,460.00,20.00,120.00,440.00,40.00,140.00,120.00
11,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,100.00,120.00,20.00,60.00,120.00,80.00,120.00,120.00,120.00,80.00,380.00,80.00,500.00,120.00,120.00,440.00,500.00,460.00,120.00
12,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,480.00,120.00,80.00,120.00,120.00,120.00,120.00,120.00,120.00,40.00,140.00,120.00,480.00,480.00,120.00,20.00,120.00,120.00,120.00,140.00
13,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,120.00,500.00,120.00,40.00,120.00,100.00,120.00,120.00,20.00,120.00,120.00,140.00,120.00,100.00,80.00,100.00,120.00,120.00,120.00
14,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,120.00,140.00,400.00,120.00,80.00,120.00,120.00,120.00,400.00,120.00,640.00,440.00,120.00,120.00,120.00,120.00,120.00,440.00,20.00
15,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,500.00,120.00,380.00,120.00,120.00,100.00,100.00,100.00,420.00,120.00,140.00,40.00,120.00,120.00,360.00,500.00,140.00,120.00,20.00,480.00
16,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,480.00,380.00,120.00,120.00,100.00,120.00,380.00,20.00,120.00,120.00,500.00,380.00,520.00,120.00,400.00,120.00,20.00,20.00,120.00,120.00
17,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,60.00,60.00,40.00,120.00,120.00,120.00,120.00,100.00,120.00,120.00,40.00,480.00,120.00,120.00,120.00,120.00,120.00,120.00,440.00,120.00
18,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,140.00,120.00,460.00,100.00,120.00,120.00,60.00,120.00,100.00,100.00,40.00,120.00,120.00,20.00,120.00,120.00,40.00,480.00,120.00,400.00
19,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,60.00,120.00,120.00,120.00,120.00,60.00,120.00,120.00,100.00,120.00,380.00,80.00,120.00,20.00,120.00,120.00,120.00,40.00,120.00,20.00
20,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,400.00,20.00,120.00,420.00,120.00,120.00,120.00,80.00,120.00,400.00,480.00,320.00,20.00,60.00,120.00,100.00,680.00,140.00,20.00
21,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,60.00,120.00,120.00,120.00,480.00,120.00,120.00,120.00,120.00,100.00,120.00,80.00,500.00,120.00,120.00,400.00,100.00,440.00,100.00,120.00
