1,0.05,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,20,20.0,220.00,400.00,140.00,120.00,120.00,20.00,100.00,60.00,120.00,120.00,120.00,500.00,380.00,100.00,40.00,140.00,20.00,120.00,120.00,400.00
58,0.77,0.16,0.30,16.25,15.21,0.16,15.64,0.23,15.21,29,19.0,114.00,418.00,114.00,114.00,399.00,114.00,475.00,437.00,114.00,76.00,380.00,114.00,114.00,380.00,76.00,456.00,114.00,114.00,133.00,399.00,418.00,76.00,418.00,114.00,114.00,475.00,114.00,19.00,95.00
59,0.75,0.16,0.30,16.25,15.21,0.16,15.64,0.23,15.21,29,19.0,114.00,114.00,133.00,38.00,114.00,114.00,114.00,114.00,114.00,114.00,76.00,19.00,114.00,114.00,114.00,133.00,380.00,38.00,76.00,399.00,114.00,19.00,114.00,456.00,114.00,19.00,133.00,114.00,114.00
60,0.75,0.16,0.30,16.25,15.21,0.16,15.64,0.23,15.21,29,19.0,114.00,114.00,114.00,114.00,247.00,114.00,114.00,114.00,456.00,19.00,38.00,19.00,114.00,95.00,114.00,114.00,456.00,114.00,76.00,38.00,76.00,114.00,475.00,38.00,114.00,456.00,114.00,114.00,114.00
61,0.75,0.16,0.30,16.25,15.21,0.16,15.64,0.23,15.21,29,19.0,57.00,114.00,456.00,209.00,114.00,114.00,38.00,76.00,57.00,76.00,114.00,114.00,114.00,380.00,19.00,114.00,19.00,19.00,57.00,399.00,114.00,114.00,95.00,418.00,95.00,114.00,95.00,114.00,57.00
62,0.77,0.16,0.30,16.25,15.21,0.16,15.64,0.23,15.21,29,19.0,114.00,114.00,114.00,247.00,57.00,114.00,114.00,114.00,19.00,114.00,114.00,114.00,114.00,114.00,114.00,19.00,114.00,114.00,475.00,19.00,114.00,380.00,475.00,76.00,114.00,475.00,114.00,114.00,38.00
63,0.77,0.16,0.30,16.25,15.21,0.16,15.64,0.23,15.21,29,19.0,114.00,418.00,114.00,399.00,133.00,114.00,114.00,114.00,114.00,114.00,133.00,114.00,114.00,114.00,76.00,494.00,95.00,114.00,57.00,133.00,19.00,361.00,114.00,114.00,114.00,418.00,114.00,19.00,456.00
64,0.75,0.16,0.30,16.25,15.21,0.16,15.64,0.23,15.21,29,19.0,19.00,19.00,114.00,114.00,114.00,114.00,114.00,95.00,95.00,57.00,114.00,76.00,114.00,475.00,57.00,114.00,114.00,38.00,114.00,475.00,114.00,114.00,114.00,114.00,456.00,114.00,114.00,19.00,114.00
65,0.76,0.16,0.30,16.25,15.21,0.16,15.64,0.23,15.21,29,19.0,380.00,19.00,114.00,475.00,114.00,114.00,114.00,95.00,76.00,114.00,57.00,114.00,95.00,114.00,114.00,114.00,114.00,76.00,437.00,114.00,19.00,114.00,114.00,114.00,703.00,114.00,19.00,76.00,475.00
66,0.75,0.16,0.30,16.25,15.21,0.16,15.64,0.23,15.21,29,19.0,114.00,114.00,114.00,114.00,114.00,114.00,114.00,114.00,456.00,57.00,323.00,114.00,114.00,57.00,114.00,114.00,456.00,19.00,475.00,19.00,95.00,133.00,475.00,114.00,323.00,19.00,114.00,19.00,95.00
67,0.77,0.16,0.30,16.25,15.21,0.16,15.64,0.23,15.21,29,19.0,19.00,114.00,114.00,380.00,418.00,114.00,494.00,76.00,475.00,19.00,114.00,114.00,19.00,418.00,38.00,38.00,475.00,247.00,133.00,456.00,57.00,114.00,114.00,437.00,114.00,114.00,380.00,38.00,114.00
