1,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,480.00,20.00,120.00,100.00,120.00,80.00,20.00,120.00,180.00,100.00,100.00,400.00,480.00,140.00,60.00,20.00,120.00,140.00,120.00,100.00
2,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,80.00,120.00,120.00,100.00,540.00,120.00,120.00,120.00,500.00,20.00,120.00,120.00,500.00,80.00,520.00,120.00,120.00,60.00,20.00,120.00
3,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,40.00,120.00,120.00,120.00,40.00,120.00,120.00,100.00,120.00,120.00,120.00,120.00,40.00,120.00,480.00,120.00,400.00,80.00,140.00
4,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,400.00,40.00,120.00,120.00,120.00,120.00,60.00,120.00,120.00,120.00,20.00,120.00,80.00,20.00,120.00,60.00,120.00,580.00,480.00,120.00
5,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,20.00,20.00,120.00,120.00,120.00,340.00,480.00,60.00,120.00,480.00,20.00,120.00,500.00,120.00,120.00,380.00,40.00,40.00,120.00,120.00
6,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,60.00,120.00,120.00,120.00,100.00,20.00,120.00,520.00,120.00,120.00,80.00,120.00,120.00,120.00,380.00,500.00,40.00,120.00,100.00,480.00
7,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,20.00,120.00,20.00,120.00,100.00,480.00,120.00,60.00,120.00,120.00,120.00,120.00,60.00,40.00,120.00,120.00,120.00,500.00,120.00,120.00
8,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,120.00,60.00,100.00,120.00,80.00,120.00,160.00,120.00,60.00,120.00,140.00,120.00,120.00,420.00,500.00,120.00,480.00,120.00,40.00
9,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,420.00,120.00,120.00,140.00,20.00,400.00,120.00,120.00,120.00,440.00,100.00,20.00,120.00,120.00,140.00,40.00,480.00,120.00,120.00,460.00
10,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,200.00,120.00,20.00,120.00,20.00,100.00,120.00,100.00,120.00,120.00,40.00,120.00,120.00,100.00,120.00,500.00,420.00,520.00,120.00,100.00
11,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,420.00,60.00,20.00,100.00,120.00,20.00,120.00,100.00,120.00,100.00,120.00,80.00,120.00,120.00,120.00,120.00,20.00,80.00,120.00,120.00
12,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,440.00,340.00,120.00,120.00,460.00,120.00,20.00,120.00,120.00,40.00,80.00,440.00,40.00,120.00,120.00,120.00,120.00,500.00,100.00,120.00
13,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,420.00,20.00,80.00,460.00,40.00,20.00,120.00,60.00,40.00,120.00,320.00,120.00,120.00,120.00,20.00,20.00,100.00,120.00,60.00,500.00
14,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,60.00,480.00,400.00,20.00,120.00,20.00,120.00,120.00,120.00,60.00,120.00,120.00,120.00,120.00,20.00,500.00,100.00,680.00,40.00,20.00
15,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,420.00,120.00,100.00,140.00,120.00,120.00,120.00,120.00,60.00,60.00,120.00,120.00,440.00,120.00,120.00,80.00,500.00,140.00,420.00,480.00
16,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,80.00,120.00,20.00,120.00,80.00,140.00,340.00,20.00,20.00,40.00,460.00,120.00,460.00,120.00,120.00,120.00,120.00,120.00,360.00,140.00
