1,0.07,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,20,20.0,120.00,20.00,80.00,500.00,120.00,20.00,120.00,120.00,40.00,120.00,120.00,120.00,40.00,100.00,120.00,120.00,140.00,120.00,80.00,120.00
55,0.57,7.93,5.21,0.50,0.47,7.93,0.59,5.32,0.47,16,22.0,132.00,132.00,132.00,132.00,528.00,132.00,132.00,22.00,132.00,132.00,44.00,132.00,528.00,132.00,132.00,572.00
56,0.57,7.93,5.21,0.50,0.47,7.93,0.59,5.32,0.47,16,22.0,132.00,132.00,308.00,132.00,110.00,132.00,132.00,132.00,286.00,22.00,132.00,132.00,44.00,132.00,44.00,132.00
57,0.61,7.93,5.21,0.50,0.47,7.93,0.59,5.32,0.47,16,22.0,132.00,132.00,132.00,132.00,132.00,440.00,418.00,396.00,132.00,132.00,22.00,132.00,132.00,132.00,528.00,132.00
58,0.59,1.98,1.64,0.50,0.47,1.98,0.59,1.99,0.47,17,21.0,126.00,483.00,105.00,105.00,105.00,126.00,1008.00,126.00,504.00,21.00,126.00,126.00,441.00,126.00,147.00,126.00,693.00
59,0.60,1.98,1.64,0.50,0.47,1.98,0.59,1.99,0.47,17,21.0,84.00,147.00,147.00,126.00,546.00,126.00,126.00,126.00,483.00,126.00,84.00,126.00,42.00,126.00,126.00,126.00,126.00
60,0.59,1.98,1.64,0.50,0.47,1.98,0.59,1.99,0.47,17,21.0,1344.00,42.00,483.00,126.00,105.00,105.00,126.00,126.00,126.00,84.00,126.00,126.00,126.00,126.00,504.00,126.00,126.00
61,0.63,1.98,1.64,0.50,0.47,1.98,0.59,1.99,0.47,17,21.0,105.00,483.00,84.00,126.00,504.00,126.00,126.00,357.00,63.00,504.00,126.00,126.00,378.00,126.00,84.00,504.00,21.00
62,0.61,0.02,0.36,0.50,0.47,0.02,0.59,0.14,0.47,16,22.0,66.00,110.00,242.00,132.00,132.00,418.00,44.00,132.00,132.00,132.00,22.00,44.00,132.00,132.00,132.00,132.00
63,0.60,0.02,0.36,0.50,0.47,0.02,0.59,0.14,0.47,16,22.0,44.00,132.00,132.00,132.00,132.00,132.00,110.00,132.00,44.00,132.00,132.00,132.00,132.00,132.00,88.00,132.00
64,0.66,0.02,0.36,0.50,0.47,0.02,0.59,0.14,0.47,16,22.0,22.00,22.00,132.00,132.00,132.00,132.00,110.00,352.00,132.00,132.00,132.00,440.00,132.00,88.00,22.00,528.00
