1,0.06,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,20,20.0,100.00,120.00,120.00,100.00,40.00,400.00,20.00,120.00,120.00,120.00,480.00,20.00,120.00,120.00,400.00,120.00,120.00,80.00,380.00,140.00
2,0.13,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,20,20.0,120.00,120.00,120.00,500.00,120.00,400.00,480.00,120.00,500.00,140.00,480.00,480.00,120.00,140.00,420.00,440.00,40.00,120.00,40.00,120.00
3,0.13,1000000000.00,1000000000.00,0.58,0.02,0.06,1000000000.00,0.58,1000000000.00,19,21.0,525.00,525.00,126.00,420.00,126.00,63.00,441.00,63.00,126.00,126.00,420.00,546.00,21.00,126.00,546.00,546.00,126.00,462.00,126.00
4,0.18,1000000000.00,1000000000.00,0.58,0.02,0.06,1000000000.00,0.58,1000000000.00,19,21.0,294.00,42.00,126.00,126.00,504.00,126.00,126.00,105.00,126.00,147.00,126.00,126.00,126.00,126.00,483.00,42.00,63.00,105.00,105.00
5,0.20,1000000000.00,1000000000.00,3.15,86.94,0.06,94.75,0.58,86.94,18,22.0,440.00,528.00,132.00,132.00,506.00,132.00,110.00,132.00,132.00,154.00,462.00,396.00,22.00,132.00,506.00,528.00,132.00,88.00
6,0.21,1000000000.00,1000000000.00,0.20,0.08,0.06,0.01,0.58,0.08,17,23.0,575.00,138.00,138.00,23.00,138.00,115.00,138.00,92.00,138.00,598.00,529.00,23.00,92.00,138.00,92.00,46.00,138.00
7,0.24,1000000000.00,1000000000.00,5.34,22.49,0.06,215.25,0.58,22.49,16,24.0,264.00,24.00,144.00,456.00,48.00,144.00,24.00,144.00,24.00,144.00,144.00,144.00,144.00,24.00,144.00,144.00
8,0.28,1000000000.00,1000000000.00,1.93,1.00,0.06,0.90,0.58,1.00,15,25.0,150.00,150.00,150.00,150.00,150.00,600.00,150.00,175.00,150.00,550.00,25.00,650.00,25.00,150.00,25.00
9,0.28,1000000000.00,1000000000.00,0.15,0.50,0.06,0.53,0.58,0.50,14,26.0,156.00,156.00,1196.00,52.00,130.00,156.00,156.00,364.00,78.00,624.00,130.00,156.00,624.00,520.00
10,0.36,1000000000.00,1000000000.00,0.15,0.50,0.06,0.53,0.58,0.50,14,26.0,156.00,156.00,156.00,156.00,572.00,156.00,156.00,156.00,156.00,156.00,156.00,650.00,26.00,572.00
11,0.41,1000000000.00,1000000000.00,1.13,0.09,0.06,0.17,0.58,0.09,13,27.0,135.00,189.00,162.00,162.00,135.00,162.00,162.00,162.00,162.00,162.00,162.00,675.00,162.00
12,0.36,1000000000.00,1000000000.00,1.70,3.25,0.06,1.71,0.58,3.25,12,28.0,168.00,168.00,168.00,140.00,168.00,28.00,140.00,56.00,84.00,588.00,168.00,168.00
13,0.41,1000000000.00,1000000000.00,1.70,3.25,0.06,1.71,0.58,3.25,12,28.0,56.00,616.00,560.00,84.00,168.00,168.00,140.00,140.00,196.00,168.00,616.00,560.00
14,0.47,1000000000.00,1000000000.00,1.70,3.25,0.06,1.71,0.58,3.25,12,28.0,168.00,168.00,168.00,672.00,560.00,28.00,28.00,140.00,168.00,168.00,308.00,672.00
15,0.46,1000000000.00,1000000000.00,2.01,3.35,0.06,4.87,0.58,3.35,11,29.0,174.00,174.00,174.00,174.00,174.00,174.00,174.00,174.00,29.00,29.00,464.00
16,0.49,1000000000.00,1000000000.00,2.01,3.35,0.06,4.87,0.58,3.35,11,29.0,174.00,29.00,174.00,203.00,725.00,174.00,174.00,725.00,116.00,174.00,174.00
17,0.52,1000000000.00,1000000000.00,0.66,1.03,0.06,1.21,0.58,1.03,10,30.0,180.00,180.00,180.00,180.00,210.00,120.00,180.00,180.00,210.00,180.00
18,0.40,1000000000.00,1000000000.00,2.34,1.74,0.06,1.47,0.58,1.74,9,31.0,93.00,186.00,62.00,186.00,93.00,651.00,186.00,186.00,62.00
19,0.36,1000000000.00,1000000000.00,2.34,1.74,0.06,1.47,0.58,1.74,9,31.0,651.00,186.00,186.00,31.00,744.00,31.00,31.00,217.00,93.00
20,0.37,1000000000.00,1000000000.00,2.34,1.74,0.06,1.47,0.58,1.74,9,31.0,186.00,682.00,155.00,155.00,186.00,1271.00,31.00,186.00,186.00
21,0.53,1000000000.00,1000000000.00,2.34,1.74,0.06,1.47,0.58,1.74,9,31.0,682.00,186.00,217.00,775.00,93.00,589.00,31.00,186.00,744.00
22,0.53,1000000000.00,1000000000.00,2.34,1.74,0.06,1.47,0.58,1.74,9,31.0,186.00,186.00,682.00,93.00,186.00,806.00,186.00,62.00,434.00
23,0.53,1000000000.00,1000000000.00,5.89,4.49,0.06,5.82,0.58,4.49,8,32.0,192.00,96.00,192.00,128.00,192.00,768.00,192.00,192.00
24,0.48,1000000000.00,1000000000.00,5.89,4.49,0.06,5.82,0.58,4.49,8,32.0,192.00,800.00,192.00,192.00,32.00,1056.00,192.00,192.00
25,0.60,1000000000.00,1000000000.00,5.89,4.49,0.06,5.82,0.58,4.49,8,32.0,192.00,192.00,192.00,32.00,64.00,192.00,192.00,192.00
26,0.57,1000000000.00,1000000000.00,0.98,1.00,0.06,0.98,0.58,1.00,7,33.0,33.00,198.00,66.00,165.00,198.00,825.00,825.00
27,0.57,1000000000.00,1000000000.00,0.98,1.00,0.06,0.98,0.58,1.00,7,33.0,198.00,198.00,198.00,792.00,33.00,198.00,198.00
28,0.50,1000000000.00,1000000000.00,0.98,1.00,0.06,0.98,0.58,1.00,7,33.0,198.00,198.00,825.00,198.00,165.00,33.00,198.00
29,0.55,1000000000.00,1000000000.00,0.98,1.00,0.06,0.98,0.58,1.00,7,33.0,165.00,759.00,198.00,231.00,66.00,198.00,165.00
30,0.60,1000000000.00,1000000000.00,0.98,1.00,0.06,0.98,0.58,1.00,7,33.0,198.00,792.00,198.00,165.00,792.00,66.00,693.00
31,0.53,1000000000.00,1000000000.00,0.98,1.00,0.06,0.98,0.58,1.00,7,33.0,627.00,33.00,66.00,165.00,66.00,132.00,198.00
32,0.48,1000000000.00,1000000000.00,0.98,1.00,0.06,0.98,0.58,1.00,7,33.0,792.00,33.00,198.00,198.00,594.00,33.00,198.00
33,0.64,1000000000.00,1000000000.00,0.98,1.00,0.06,0.98,0.58,1.00,7,33.0,198.00,726.00,198.00,825.00,198.00,198.00,198.00
34,0.56,1000000000.00,1000000000.00,0.40,0.39,0.06,0.52,0.58,0.39,6,34.0,204.00,204.00,816.00,204.00,34.00,68.00
35,0.67,1000000000.00,1000000000.00,0.40,0.39,0.06,0.52,0.58,0.39,6,34.0,204.00,442.00,680.00,102.00,204.00,204.00
36,0.18,1000000000.00,1000000000.00,0.95,0.97,0.06,0.89,0.58,0.97,5,35.0,70.00,70.00,210.00,35.00,1190.00
37,0.58,1000000000.00,1000000000.00,0.95,0.97,0.06,0.89,0.58,0.97,5,35.0,210.00,105.00,560.00,700.00,735.00
38,0.45,1000000000.00,1000000000.00,0.95,0.97,0.06,0.89,0.58,0.97,5,35.0,210.00,175.00,840.00,105.00,210.00
39,0.59,1000000000.00,1000000000.00,0.95,0.97,0.06,0.89,0.58,0.97,5,35.0,210.00,210.00,140.00,210.00,210.00
40,0.62,1000000000.00,1000000000.00,0.95,0.97,0.06,0.89,0.58,0.97,5,35.0,210.00,210.00,700.00,70.00,210.00
41,0.54,1000000000.00,1000000000.00,0.95,0.97,0.06,0.89,0.58,0.97,5,35.0,840.00,210.00,210.00,105.00,70.00
42,0.64,1000000000.00,1000000000.00,0.95,0.97,0.06,0.89,0.58,0.97,5,35.0,175.00,210.00,210.00,105.00,210.00
43,0.70,1000000000.00,1000000000.00,0.95,0.97,0.06,0.89,0.58,0.97,5,35.0,875.00,805.00,35.00,210.00,210.00
44,0.70,1000000000.00,1000000000.00,0.99,0.94,0.06,1.46,0.58,0.94,4,36.0,216.00,612.00,216.00,216.00
45,0.65,1000000000.00,1000000000.00,0.99,0.94,0.06,1.46,0.58,0.94,4,36.0,216.00,720.00,36.00,216.00
46,0.62,1000000000.00,1000000000.00,0.99,0.94,0.06,1.46,0.58,0.94,4,36.0,216.00,72.00,216.00,252.00
47,0.66,1000000000.00,1000000000.00,0.99,0.94,0.06,1.46,0.58,0.94,4,36.0,216.00,216.00,216.00,144.00
48,0.43,1000000000.00,1000000000.00,0.99,0.94,0.06,1.46,0.58,0.94,4,36.0,36.00,720.00,216.00,216.00
49,0.54,1000000000.00,1000000000.00,0.99,0.94,0.06,1.46,0.58,0.94,4,36.0,216.00,936.00,108.00,216.00
50,0.55,1000000000.00,1000000000.00,0.99,0.94,0.06,1.46,0.58,0.94,4,36.0,36.00,216.00,216.00,720.00
51,0.61,1000000000.00,1000000000.00,0.99,0.94,0.06,1.46,0.58,0.94,4,36.0,216.00,72.00,216.00,216.00
52,0.60,1000000000.00,1000000000.00,0.99,0.94,0.06,1.46,0.58,0.94,4,36.0,180.00,72.00,108.00,216.00
53,0.69,1000000000.00,1000000000.00,0.99,0.94,0.06,1.46,0.58,0.94,4,36.0,216.00,216.00,216.00,216.00
54,0.67,1000000000.00,1000000000.00,0.99,0.94,0.06,1.46,0.58,0.94,4,36.0,216.00,36.00,72.00,180.00
55,0.55,1000000000.00,1000000000.00,0.99,0.94,0.06,1.46,0.58,0.94,4,36.0,216.00,216.00,684.00,36.00
56,0.63,1000000000.00,1000000000.00,0.99,0.94,0.06,1.46,0.58,0.94,4,36.0,216.00,216.00,36.00,216.00
57,0.68,1000000000.00,1000000000.00,0.99,0.94,0.06,1.46,0.58,0.94,4,36.0,36.00,216.00,216.00,216.00
58,0.71,1000000000.00,1000000000.00,0.99,0.94,0.06,1.46,0.58,0.94,4,36.0,900.00,216.00,216.00,216.00
59,0.71,1000000000.00,1000000000.00,0.99,0.94,0.06,1.46,0.58,0.94,4,36.0,216.00,936.00,684.00,216.00
60,0.48,1000000000.00,1000000000.00,1.84,2.48,0.06,3.25,0.58,2.48,3,37.0,37.00,851.00,185.00
61,0.64,1000000000.00,1000000000.00,1.84,2.48,0.06,3.25,0.58,2.48,3,37.0,111.00,222.00,222.00
62,0.67,1000000000.00,1000000000.00,1.84,2.48,0.06,3.25,0.58,2.48,3,37.0,703.00,555.00,222.00
63,0.67,1000000000.00,1000000000.00,1.84,2.48,0.06,3.25,0.58,2.48,3,37.0,222.00,888.00,222.00
64,0.71,1000000000.00,1000000000.00,1.84,2.48,0.06,3.25,0.58,2.48,3,37.0,1702.00,851.00,851.00
65,0.73,1000000000.00,1000000000.00,1.84,2.48,0.06,3.25,0.58,2.48,3,37.0,777.00,222.00,222.00
66,0.70,1000000000.00,1000000000.00,0.94,1.18,0.06,0.96,0.58,1.18,2,38.0,228.00,228.00
67,0.70,1000000000.00,1000000000.00,0.94,1.18,0.06,0.96,0.58,1.18,2,38.0,228.00,190.00
68,0.69,1000000000.00,1000000000.00,0.94,1.18,0.06,0.96,0.58,1.18,2,38.0,228.00,114.00
69,0.69,1000000000.00,1000000000.00,0.94,1.18,0.06,0.96,0.58,1.18,2,38.0,228.00,228.00
70,0.68,1000000000.00,1000000000.00,0.94,1.18,0.06,0.96,0.58,1.18,2,38.0,152.00,228.00
71,0.39,1000000000.00,1000000000.00,0.94,1.18,0.06,0.96,0.58,1.18,2,38.0,38.00,228.00
72,0.63,1000000000.00,1000000000.00,0.94,1.18,0.06,0.96,0.58,1.18,2,38.0,228.00,684.00
73,0.66,1000000000.00,1000000000.00,0.94,1.18,0.06,0.96,0.58,1.18,2,38.0,228.00,912.00
74,0.62,1000000000.00,1000000000.00,0.94,1.18,0.06,0.96,0.58,1.18,2,38.0,190.00,152.00
75,0.65,1000000000.00,1000000000.00,0.94,1.18,0.06,0.96,0.58,1.18,2,38.0,190.00,228.00
76,0.64,1000000000.00,1000000000.00,0.94,1.18,0.06,0.96,0.58,1.18,2,38.0,228.00,190.00
77,0.68,1000000000.00,1000000000.00,0.94,1.18,0.06,0.96,0.58,1.18,2,38.0,228.00,228.00
78,0.68,1000000000.00,1000000000.00,0.94,1.18,0.06,0.96,0.58,1.18,2,38.0,190.00,228.00
79,0.37,1000000000.00,1000000000.00,0.94,1.18,0.06,0.96,0.58,1.18,2,38.0,266.00,38.00
80,0.61,1000000000.00,1000000000.00,0.94,1.18,0.06,0.96,0.58,1.18,2,38.0,228.00,798.00
81,0.67,1000000000.00,1000000000.00,0.94,1.18,0.06,0.96,0.58,1.18,2,38.0,228.00,228.00
82,0.36,1000000000.00,1000000000.00,0.94,1.18,0.06,0.96,0.58,1.18,2,38.0,38.00,76.00
83,0.51,1000000000.00,1000000000.00,0.94,1.18,0.06,0.96,0.58,1.18,2,38.0,228.00,152.00
84,0.66,1000000000.00,1000000000.00,0.94,1.18,0.06,0.96,0.58,1.18,2,38.0,228.00,988.00
85,0.66,1000000000.00,1000000000.00,0.94,1.18,0.06,0.96,0.58,1.18,2,38.0,228.00,228.00
86,0.67,1000000000.00,1000000000.00,0.94,1.18,0.06,0.96,0.58,1.18,2,38.0,228.00,228.00
87,0.57,1000000000.00,1000000000.00,0.94,1.18,0.06,0.96,0.58,1.18,2,38.0,950.00,228.00
